State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate,% of Total Deaths
Arizona,4,1971,1971,Female,F,98,963439,10.2,0.00%
Arizona,4,1971,1971,Male,M,243,937022,25.9,0.10%
Arizona,4,1972,1972,Female,F,106,1018043,10.4,0.00%
Arizona,4,1972,1972,Male,M,230,992514,23.2,0.10%
Arizona,4,1973,1973,Female,F,79,1075677,7.3,0.00%
Arizona,4,1973,1973,Male,M,250,1050067,23.8,0.10%
Arizona,4,1974,1974,Female,F,101,1126220,9,0.00%
Arizona,4,1974,1974,Male,M,293,1099407,26.7,0.10%
Arizona,4,1975,1975,Female,F,97,1157873,8.4,0.00%
Arizona,4,1975,1975,Male,M,290,1129102,25.7,0.10%
Arizona,4,1976,1976,Female,F,122,1190222,10.3,0.00%
Arizona,4,1976,1976,Male,M,267,1159764,23,0.10%
Arizona,4,1977,1977,Female,F,133,1232330,10.8,0.00%
Arizona,4,1977,1977,Male,M,360,1198486,30,0.10%
Arizona,4,1978,1978,Female,F,120,1279066,9.4,0.00%
Arizona,4,1978,1978,Male,M,339,1242503,27.3,0.10%
Arkansas,5,1968,1968,Female,F,32,962665,3.3,0.00%
Arkansas,5,1968,1968,Male,M,134,906029,14.8,0.00%
Arkansas,5,1969,1969,Female,F,32,979273,3.3,0.00%
Arkansas,5,1969,1969,Male,M,128,920186,13.9,0.00%
Arkansas,5,1970,1970,Female,F,45,992611,4.5,0.00%
Arkansas,5,1970,1970,Male,M,153,934593,16.4,0.10%
Arkansas,5,1971,1971,Female,F,48,1016675,4.7,0.00%
Arkansas,5,1971,1971,Male,M,144,958421,15,0.10%
Arkansas,5,1972,1972,Female,F,60,1038344,5.8,0.00%
Arkansas,5,1972,1972,Male,M,158,980117,16.1,0.10%
Arkansas,5,1973,1973,Female,F,47,1058845,4.4,0.00%
Arkansas,5,1973,1973,Male,M,165,999377,16.5,0.10%
Arkansas,5,1974,1974,Female,F,53,1081090,4.9,0.00%
Arkansas,5,1974,1974,Male,M,170,1019629,16.7,0.10%
Arkansas,5,1975,1975,Female,F,41,1111025,3.7,0.00%
Arkansas,5,1975,1975,Male,M,169,1047046,16.1,0.10%
Arkansas,5,1976,1976,Female,F,60,1117684,5.4,0.00%
Arkansas,5,1976,1976,Male,M,187,1051829,17.8,0.10%
Arkansas,5,1977,1977,Female,F,52,1139341,4.6,0.00%
Arkansas,5,1977,1977,Male,M,199,1070187,18.6,0.10%
Arkansas,5,1978,1978,Female,F,49,1157014,4.2,0.00%
Arkansas,5,1978,1978,Male,M,179,1084847,16.5,0.10%
California,6,1968,1968,Female,F,1150,9938072,11.6,0.40%
California,6,1968,1968,Male,M,2001,9639658,20.8,0.70%
California,6,1969,1969,Female,F,1321,10056244,13.1,0.50%
California,6,1969,1969,Male,M,2223,9738758,22.8,0.80%
California,6,1970,1970,Female,F,1426,10159283,14,0.50%
California,6,1970,1970,Male,M,2281,9845650,23.2,0.80%
California,6,1971,1971,Female,F,1480,10324136,14.3,0.50%
California,6,1971,1971,Male,M,2285,10022878,22.8,0.80%
California,6,1972,1972,Female,F,1494,10430816,14.3,0.50%
California,6,1972,1972,Male,M,2448,10136678,24.1,0.90%
California,6,1973,1973,Female,F,1257,10575014,11.9,0.50%
California,6,1973,1973,Male,M,2397,10272311,23.3,0.90%
California,6,1974,1974,Female,F,1310,10739268,12.2,0.50%
California,6,1974,1974,Male,M,2373,10433764,22.7,0.90%
California,6,1975,1975,Female,F,1292,10931349,11.8,0.50%
California,6,1975,1975,Male,M,2561,10617615,24.1,0.90%
California,6,1976,1976,Female,F,1260,11139863,11.3,0.50%
California,6,1976,1976,Male,M,2505,10825110,23.1,0.90%
California,6,1977,1977,Female,F,1254,11353667,11,0.50%
California,6,1977,1977,Male,M,2629,11037359,23.8,0.90%
California,6,1978,1978,Female,F,1073,11601984,9.2,0.40%
California,6,1978,1978,Male,M,2554,11275693,22.7,0.90%
Colorado,8,1968,1968,Female,F,108,1065007,10.1,0.00%
Colorado,8,1968,1968,Male,M,233,1032797,22.6,0.10%
Colorado,8,1969,1969,Female,F,97,1095910,8.9,0.00%
Colorado,8,1969,1969,Male,M,233,1064422,21.9,0.10%
Colorado,8,1970,1970,Female,F,105,1120722,9.4,0.00%
Colorado,8,1970,1970,Male,M,278,1093124,25.4,0.10%
Colorado,8,1971,1971,Female,F,120,1164213,10.3,0.00%
Colorado,8,1971,1971,Male,M,264,1141021,23.1,0.10%
Colorado,8,1972,1972,Female,F,120,1211155,9.9,0.00%
Colorado,8,1972,1972,Male,M,306,1192183,25.7,0.10%
Colorado,8,1973,1973,Female,F,123,1255094,9.8,0.00%
Colorado,8,1973,1973,Male,M,301,1238644,24.3,0.10%
Colorado,8,1974,1974,Female,F,131,1278123,10.2,0.00%
Colorado,8,1974,1974,Male,M,316,1261835,25,0.10%
Colorado,8,1975,1975,Female,F,126,1301149,9.7,0.00%
Colorado,8,1975,1975,Male,M,319,1285085,24.8,0.10%
Colorado,8,1976,1976,Female,F,132,1324315,10,0.00%
Colorado,8,1976,1976,Male,M,316,1309914,24.1,0.10%
Colorado,8,1977,1977,Female,F,137,1357947,10.1,0.00%
Colorado,8,1977,1977,Male,M,393,1341732,29.3,0.10%
Colorado,8,1978,1978,Female,F,125,1393496,9,0.00%
Colorado,8,1978,1978,Male,M,356,1376809,25.9,0.10%
Connecticut,9,1968,1968,Female,F,88,1543462,5.7,0.00%
Connecticut,9,1968,1968,Male,M,178,1457152,12.2,0.10%
Connecticut,9,1969,1969,Female,F,101,1552706,6.5,0.00%
Connecticut,9,1969,1969,Male,M,212,1461800,14.5,0.10%
Connecticut,9,1970,1970,Female,F,80,1561082,5.1,0.00%
Connecticut,9,1970,1970,Male,M,224,1470936,15.2,0.10%
Connecticut,9,1971,1971,Female,F,89,1574051,5.7,0.00%
Connecticut,9,1971,1971,Male,M,216,1483509,14.6,0.10%
Connecticut,9,1972,1972,Female,F,80,1576672,5.1,0.00%
Connecticut,9,1972,1972,Male,M,226,1485224,15.2,0.10%
Connecticut,9,1973,1973,Female,F,92,1577746,5.8,0.00%
Connecticut,9,1973,1973,Male,M,192,1483959,12.9,0.10%
Connecticut,9,1974,1974,Female,F,65,1583166,4.1,0.00%
Connecticut,9,1974,1974,Male,M,201,1486846,13.5,0.10%
Connecticut,9,1975,1975,Female,F,90,1590253,5.7,0.00%
Connecticut,9,1975,1975,Male,M,227,1490273,15.2,0.10%
Connecticut,9,1976,1976,Female,F,77,1592103,4.8,0.00%
Connecticut,9,1976,1976,Male,M,234,1491369,15.7,0.10%
Connecticut,9,1977,1977,Female,F,64,1596112,4,0.00%
Connecticut,9,1977,1977,Male,M,204,1492038,13.7,0.10%
Connecticut,9,1978,1978,Female,F,95,1600729,5.9,0.00%
Connecticut,9,1978,1978,Male,M,225,1494458,15.1,0.10%
Delaware,10,1968,1968,Female,F,23,269789,8.5,0.00%
Delaware,10,1968,1968,Male,M,41,257997,15.9,0.00%
Delaware,10,1969,1969,Female,F,18,276070,6.5,0.00%
Delaware,10,1969,1969,Male,M,50,262930,19,0.00%
Delaware,10,1970,1970,Female,F,12,281082,4.3,0.00%
Delaware,10,1970,1970,Male,M,55,267827,20.5,0.00%
Delaware,10,1971,1971,Female,F,16,289708,5.5,0.00%
Delaware,10,1971,1971,Male,M,39,275670,14.1,0.00%
Delaware,10,1972,1972,Female,F,14,293945,4.8,0.00%
Delaware,10,1972,1972,Male,M,50,279111,17.9,0.00%
Delaware,10,1973,1973,Female,F,21,296789,7.1,0.00%
Delaware,10,1973,1973,Male,M,58,281236,20.6,0.00%
Delaware,10,1974,1974,Female,F,17,299356,5.7,0.00%
Delaware,10,1974,1974,Male,M,44,283088,15.5,0.00%
Delaware,10,1975,1975,Female,F,24,302747,7.9,0.00%
Delaware,10,1975,1975,Male,M,46,285554,16.1,0.00%
Delaware,10,1976,1976,Female,F,19,305172,6.2,0.00%
Delaware,10,1976,1976,Male,M,52,287320,18.1,0.00%
Delaware,10,1977,1977,Female,F,15,307323,4.9,0.00%
Delaware,10,1977,1977,Male,M,61,287888,21.2,0.00%
Delaware,10,1978,1978,Female,F,24,309254,7.8,0.00%
Delaware,10,1978,1978,Male,M,61,289372,21.1,0.00%
District of Columbia,11,1968,1968,Female,F,19,413323,4.6,0.00%
District of Columbia,11,1968,1968,Male,M,36,359363,10,0.00%
District of Columbia,11,1969,1969,Female,F,15,409283,3.7,0.00%
District of Columbia,11,1969,1969,Male,M,50,355384,14.1,0.00%
District of Columbia,11,1970,1970,Female,F,23,406575,5.7,0.00%
District of Columbia,11,1970,1970,Male,M,45,353364,12.7,0.00%
District of Columbia,11,1971,1971,Female,F,34,402987,8.4,0.00%
District of Columbia,11,1971,1971,Male,M,48,350489,13.7,0.00%
District of Columbia,11,1972,1972,Female,F,34,398336,8.5,0.00%
District of Columbia,11,1972,1972,Male,M,56,346750,16.1,0.00%
District of Columbia,11,1973,1973,Female,F,28,392745,7.1,0.00%
District of Columbia,11,1973,1973,Male,M,59,341637,17.3,0.00%
District of Columbia,11,1974,1974,Female,F,22,386357,5.7,0.00%
District of Columbia,11,1974,1974,Male,M,55,335098,16.4,0.00%
District of Columbia,11,1975,1975,Female,F,24,381185,6.3,0.00%
District of Columbia,11,1975,1975,Male,M,65,330258,19.7,0.00%
District of Columbia,11,1976,1976,Female,F,35,373949,9.4,0.00%
District of Columbia,11,1976,1976,Male,M,56,324028,17.3,0.00%
District of Columbia,11,1977,1977,Female,F,23,367037,6.3,0.00%
District of Columbia,11,1977,1977,Male,M,40,317150,12.6,0.00%
District of Columbia,11,1978,1978,Female,F,17,360806,4.7,0.00%
District of Columbia,11,1978,1978,Male,M,53,311294,17,0.00%
Florida,12,1968,1968,Female,F,283,3281078,8.6,0.10%
Florida,12,1968,1968,Male,M,596,3066712,19.4,0.20%
Florida,12,1969,1969,Female,F,323,3414033,9.5,0.10%
Florida,12,1969,1969,Male,M,657,3184219,20.6,0.20%
Florida,12,1970,1970,Female,F,363,3521776,10.3,0.10%
Florida,12,1970,1970,Male,M,683,3284361,20.8,0.20%
Florida,12,1971,1971,Female,F,309,3710896,8.3,0.10%
Florida,12,1971,1971,Male,M,697,3464538,20.1,0.30%
Florida,12,1972,1972,Female,F,342,3890093,8.8,0.10%
Florida,12,1972,1972,Male,M,846,3632635,23.3,0.30%
Florida,12,1973,1973,Female,F,384,4099590,9.4,0.10%
Florida,12,1973,1973,Male,M,906,3824240,23.7,0.30%
Florida,12,1974,1974,Female,F,434,4303222,10.1,0.20%
Florida,12,1974,1974,Male,M,928,4010373,23.1,0.30%
Florida,12,1975,1975,Female,F,453,4420135,10.2,0.20%
Florida,12,1975,1975,Male,M,1042,4113458,25.3,0.40%
Florida,12,1976,1976,Female,F,439,4506123,9.7,0.20%
Florida,12,1976,1976,Male,M,1027,4184990,24.5,0.40%
Florida,12,1977,1977,Female,F,457,4613453,9.9,0.20%
Florida,12,1977,1977,Male,M,1100,4278898,25.7,0.40%
Florida,12,1978,1978,Female,F,450,4744331,9.5,0.20%
Florida,12,1978,1978,Male,M,1083,4392458,24.7,0.40%
Georgia,13,1968,1968,Female,F,129,2278135,5.7,0.00%
Georgia,13,1968,1968,Male,M,368,2166941,17,0.10%
Georgia,13,1969,1969,Female,F,120,2324241,5.2,0.00%
Georgia,13,1969,1969,Male,M,393,2202287,17.8,0.10%
Georgia,13,1970,1970,Female,F,138,2365027,5.8,0.00%
Georgia,13,1970,1970,Male,M,405,2235423,18.1,0.10%
Georgia,13,1971,1971,Female,F,115,2427386,4.7,0.00%
Georgia,13,1971,1971,Male,M,410,2290405,17.9,0.10%
Georgia,13,1972,1972,Female,F,164,2476382,6.6,0.10%
Georgia,13,1972,1972,Male,M,436,2331382,18.7,0.20%
Georgia,13,1973,1973,Female,F,174,2530193,6.9,0.10%
Georgia,13,1973,1973,Male,M,457,2375097,19.2,0.20%
Georgia,13,1974,1974,Female,F,172,2575140,6.7,0.10%
Georgia,13,1974,1974,Male,M,501,2416835,20.7,0.20%
Georgia,13,1975,1975,Female,F,217,2608195,8.3,0.10%
Georgia,13,1975,1975,Male,M,571,2445326,23.4,0.20%
Georgia,13,1976,1976,Female,F,162,2642023,6.1,0.10%
Georgia,13,1976,1976,Male,M,511,2481767,20.6,0.20%
Georgia,13,1977,1977,Female,F,191,2691021,7.1,0.10%
Georgia,13,1977,1977,Male,M,513,2524475,20.3,0.20%
Georgia,13,1978,1978,Female,F,172,2730970,6.3,0.10%
Georgia,13,1978,1978,Male,M,516,2558410,20.2,0.20%
Hawaii,15,1968,1968,Female,F,16,359338,4.5,0.00%
Hawaii,15,1968,1968,Male,M,41,389603,10.5,0.00%
Hawaii,15,1969,1969,Female,F,14,364947,3.8,0.00%
Hawaii,15,1969,1969,Male,M,58,394690,14.7,0.00%
Hawaii,15,1970,1970,Female,F,27,370983,7.3,0.00%
Hawaii,15,1970,1970,Male,M,52,401176,13,0.00%
Hawaii,15,1971,1971,Female,F,26,385308,6.7,0.00%
Hawaii,15,1971,1971,Male,M,71,417241,17,0.00%
Hawaii,15,1972,1972,Female,F,30,397984,7.5,0.00%
Hawaii,15,1972,1972,Male,M,54,430256,12.6,0.00%
Hawaii,15,1973,1973,Female,F,32,409250,7.8,0.00%
Hawaii,15,1973,1973,Male,M,56,441738,12.7,0.00%
Hawaii,15,1974,1974,Female,F,34,417909,8.1,0.00%
Hawaii,15,1974,1974,Male,M,64,449378,14.2,0.00%
Hawaii,15,1975,1975,Female,F,24,427306,5.6,0.00%
Hawaii,15,1975,1975,Male,M,51,458121,11.1,0.00%
Hawaii,15,1976,1976,Female,F,25,437428,5.7,0.00%
Hawaii,15,1976,1976,Male,M,64,466538,13.7,0.00%
Hawaii,15,1977,1977,Female,F,39,445430,8.8,0.00%
Hawaii,15,1977,1977,Male,M,76,472715,16.1,0.00%
Hawaii,15,1978,1978,Female,F,23,451440,5.1,0.00%
Hawaii,15,1978,1978,Male,M,83,479459,17.3,0.00%
Idaho,16,1968,1968,Female,F,18,342027,5.3,0.00%
Idaho,16,1968,1968,Male,M,72,340927,21.1,0.00%
Idaho,16,1969,1969,Female,F,21,350588,6,0.00%
Idaho,16,1969,1969,Male,M,63,348945,18.1,0.00%
Idaho,16,1970,1970,Female,F,30,357711,8.4,0.00%
Idaho,16,1970,1970,Male,M,82,357006,23,0.00%
Idaho,16,1971,1971,Female,F,22,370081,5.9,0.00%
Idaho,16,1971,1971,Male,M,100,369677,27.1,0.00%
Idaho,16,1972,1972,Female,F,16,381332,4.2,0.00%
Idaho,16,1972,1972,Male,M,74,382075,19.4,0.00%
Idaho,16,1973,1973,Female,F,15,390598,3.8,0.00%
Idaho,16,1973,1973,Male,M,82,391572,20.9,0.00%
Idaho,16,1974,1974,Female,F,30,403958,7.4,0.00%
Idaho,16,1974,1974,Male,M,97,404731,24,0.00%
Idaho,16,1975,1975,Female,F,31,416175,7.4,0.00%
Idaho,16,1975,1975,Male,M,101,416741,24.2,0.00%
Idaho,16,1976,1976,Female,F,28,429161,6.5,0.00%
Idaho,16,1976,1976,Male,M,108,429664,25.1,0.00%
Idaho,16,1977,1977,Female,F,27,443116,6.1,0.00%
Idaho,16,1977,1977,Male,M,115,443037,26,0.00%
Idaho,16,1978,1978,Female,F,21,456995,4.6,0.00%
Idaho,16,1978,1978,Male,M,97,456262,21.3,0.00%
Illinois,17,1968,1968,Female,F,274,5675442,4.8,0.10%
Illinois,17,1968,1968,Male,M,723,5354931,13.5,0.30%
Illinois,17,1969,1969,Female,F,298,5699942,5.2,0.10%
Illinois,17,1969,1969,Male,M,685,5369433,12.8,0.20%
Illinois,17,1970,1970,Female,F,320,5729532,5.6,0.10%
Illinois,17,1970,1970,Male,M,692,5401340,12.8,0.20%
Illinois,17,1971,1971,Female,F,296,5769444,5.1,0.10%
Illinois,17,1971,1971,Male,M,694,5444877,12.7,0.30%
Illinois,17,1972,1972,Female,F,312,5786188,5.4,0.10%
Illinois,17,1972,1972,Male,M,746,5465879,13.6,0.30%
Illinois,17,1973,1973,Female,F,278,5787720,4.8,0.10%
Illinois,17,1973,1973,Male,M,750,5461775,13.7,0.30%
Illinois,17,1974,1974,Female,F,238,5799388,4.1,0.10%
Illinois,17,1974,1974,Male,M,629,5468584,11.5,0.20%
Illinois,17,1975,1975,Female,F,255,5822161,4.4,0.10%
Illinois,17,1975,1975,Male,M,725,5483444,13.2,0.30%
Illinois,17,1976,1976,Female,F,286,5852640,4.9,0.10%
Illinois,17,1976,1976,Male,M,774,5513150,14,0.30%
Illinois,17,1977,1977,Female,F,304,5880692,5.2,0.10%
Illinois,17,1977,1977,Male,M,863,5539240,15.6,0.30%
Illinois,17,1978,1978,Female,F,290,5896521,4.9,0.10%
Illinois,17,1978,1978,Male,M,831,5547616,15,0.30%
Indiana,18,1968,1968,Female,F,143,2634338,5.4,0.10%
Indiana,18,1968,1968,Male,M,399,2506002,15.9,0.10%
Indiana,18,1969,1969,Female,F,155,2650664,5.8,0.10%
Indiana,18,1969,1969,Male,M,422,2517162,16.8,0.20%
Indiana,18,1970,1970,Female,F,146,2667423,5.5,0.10%
Indiana,18,1970,1970,Male,M,411,2536310,16.2,0.10%
Indiana,18,1971,1971,Female,F,159,2691454,5.9,0.10%
Indiana,18,1971,1971,Male,M,432,2562753,16.9,0.20%
Indiana,18,1972,1972,Female,F,152,2709763,5.6,0.10%
Indiana,18,1972,1972,Male,M,346,2582744,13.4,0.10%
Indiana,18,1973,1973,Female,F,161,2726116,5.9,0.10%
Indiana,18,1973,1973,Male,M,433,2597219,16.7,0.20%
Indiana,18,1974,1974,Female,F,139,2739468,5.1,0.10%
Indiana,18,1974,1974,Male,M,452,2605792,17.3,0.20%
Indiana,18,1975,1975,Female,F,122,2743222,4.4,0.00%
Indiana,18,1975,1975,Male,M,477,2604695,18.3,0.20%
Indiana,18,1976,1976,Female,F,144,2755706,5.2,0.10%
Indiana,18,1976,1976,Male,M,424,2614356,16.2,0.20%
Indiana,18,1977,1977,Female,F,172,2777091,6.2,0.10%
Indiana,18,1977,1977,Male,M,519,2631776,19.7,0.20%
Indiana,18,1978,1978,Female,F,151,2799259,5.4,0.10%
Indiana,18,1978,1978,Male,M,491,2648764,18.5,0.20%
Iowa,19,1968,1968,Female,F,72,1439106,5,0.00%
Iowa,19,1968,1968,Male,M,218,1361534,16,0.10%
Iowa,19,1969,1969,Female,F,81,1445976,5.6,0.00%
Iowa,19,1969,1969,Male,M,234,1365740,17.1,0.10%
Iowa,19,1970,1970,Female,F,79,1452644,5.4,0.00%
Iowa,19,1970,1970,Male,M,250,1374368,18.2,0.10%
Iowa,19,1971,1971,Female,F,88,1463513,6,0.00%
Iowa,19,1971,1971,Male,M,272,1386807,19.6,0.10%
Iowa,19,1972,1972,Female,F,76,1465004,5.2,0.00%
Iowa,19,1972,1972,Male,M,204,1390434,14.7,0.10%
Iowa,19,1973,1973,Female,F,74,1466888,5,0.00%
Iowa,19,1973,1973,Male,M,240,1391277,17.3,0.10%
Iowa,19,1974,1974,Female,F,68,1470112,4.6,0.00%
Iowa,19,1974,1974,Male,M,255,1394413,18.3,0.10%
Iowa,19,1975,1975,Female,F,83,1478756,5.6,0.00%
Iowa,19,1975,1975,Male,M,240,1401559,17.1,0.10%
Iowa,19,1976,1976,Female,F,67,1490645,4.5,0.00%
Iowa,19,1976,1976,Male,M,248,1413050,17.6,0.10%
Iowa,19,1977,1977,Female,F,70,1497809,4.7,0.00%
Iowa,19,1977,1977,Male,M,266,1419603,18.7,0.10%
Iowa,19,1978,1978,Female,F,72,1499908,4.8,0.00%
Iowa,19,1978,1978,Male,M,272,1421062,19.1,0.10%
Kansas,20,1968,1968,Female,F,71,1152384,6.2,0.00%
Kansas,20,1968,1968,Male,M,195,1110332,17.6,0.10%
Kansas,20,1969,1969,Female,F,64,1148660,5.6,0.00%
Kansas,20,1969,1969,Male,M,207,1105197,18.7,0.10%
Kansas,20,1970,1970,Female,F,50,1147651,4.4,0.00%
Kansas,20,1970,1970,Male,M,203,1104578,18.4,0.10%
Kansas,20,1971,1971,Female,F,59,1144607,5.2,0.00%
Kansas,20,1971,1971,Male,M,175,1102999,15.9,0.10%
Kansas,20,1972,1972,Female,F,74,1147383,6.4,0.00%
Kansas,20,1972,1972,Male,M,228,1106884,20.6,0.10%
Kansas,20,1973,1973,Female,F,69,1152033,6,0.00%
Kansas,20,1973,1973,Male,M,198,1110311,17.8,0.10%
Kansas,20,1974,1974,Female,F,69,1155366,6,0.00%
Kansas,20,1974,1974,Male,M,229,1111920,20.6,0.10%
Kansas,20,1975,1975,Female,F,77,1162793,6.6,0.00%
Kansas,20,1975,1975,Male,M,221,1116911,19.8,0.10%
Kansas,20,1976,1976,Female,F,62,1173965,5.3,0.00%
Kansas,20,1976,1976,Male,M,197,1127645,17.5,0.10%
Kansas,20,1977,1977,Female,F,63,1184007,5.3,0.00%
Kansas,20,1977,1977,Male,M,229,1138000,20.1,0.10%
Kansas,20,1978,1978,Female,F,54,1192128,4.5,0.00%
Kansas,20,1978,1978,Male,M,199,1143705,17.4,0.10%
Kentucky,21,1968,1968,Female,F,90,1591386,5.7,0.00%
Kentucky,21,1968,1968,Male,M,279,1539585,18.1,0.10%
Kentucky,21,1969,1969,Female,F,76,1618851,4.7,0.00%
Kentucky,21,1969,1969,Male,M,262,1561537,16.8,0.10%
Kentucky,21,1970,1970,Female,F,77,1643534,4.7,0.00%
Kentucky,21,1970,1970,Male,M,301,1583130,19,0.10%
Kentucky,21,1971,1971,Female,F,96,1682886,5.7,0.00%
Kentucky,21,1971,1971,Male,M,300,1620705,18.5,0.10%
Kentucky,21,1972,1972,Female,F,100,1699946,5.9,0.00%
Kentucky,21,1972,1972,Male,M,336,1635855,20.5,0.10%
Kentucky,21,1973,1973,Female,F,103,1719463,6,0.00%
Kentucky,21,1973,1973,Male,M,321,1650046,19.5,0.10%
Kentucky,21,1974,1974,Female,F,94,1743133,5.4,0.00%
Kentucky,21,1974,1974,Male,M,327,1671944,19.6,0.10%
Kentucky,21,1975,1975,Female,F,91,1771151,5.1,0.00%
Kentucky,21,1975,1975,Male,M,378,1697058,22.3,0.10%
Kentucky,21,1976,1976,Female,F,112,1802570,6.2,0.00%
Kentucky,21,1976,1976,Male,M,320,1729152,18.5,0.10%
Kentucky,21,1977,1977,Female,F,114,1827839,6.2,0.00%
Kentucky,21,1977,1977,Male,M,361,1751863,20.6,0.10%
Kentucky,21,1978,1978,Female,F,92,1846774,5,0.00%
Kentucky,21,1978,1978,Male,M,344,1767297,19.5,0.10%
Louisiana,22,1968,1968,Female,F,76,1832238,4.1,0.00%
Louisiana,22,1968,1968,Male,M,234,1743636,13.4,0.10%
Louisiana,22,1969,1969,Female,F,103,1854767,5.6,0.00%
Louisiana,22,1969,1969,Male,M,228,1759948,13,0.10%
Louisiana,22,1970,1970,Female,F,81,1873537,4.3,0.00%
Louisiana,22,1970,1970,Male,M,255,1775755,14.4,0.10%
Louisiana,22,1971,1971,Female,F,91,1906131,4.8,0.00%
Louisiana,22,1971,1971,Male,M,240,1807677,13.3,0.10%
Louisiana,22,1972,1972,Female,F,102,1930255,5.3,0.00%
Louisiana,22,1972,1972,Male,M,294,1830821,16.1,0.10%
Louisiana,22,1973,1973,Female,F,102,1946060,5.2,0.00%
Louisiana,22,1973,1973,Male,M,289,1841158,15.7,0.10%
Louisiana,22,1974,1974,Female,F,89,1961600,4.5,0.00%
Louisiana,22,1974,1974,Male,M,318,1858685,17.1,0.10%
Louisiana,22,1975,1975,Female,F,122,1996011,6.1,0.00%
Louisiana,22,1975,1975,Male,M,338,1893517,17.9,0.10%
Louisiana,22,1976,1976,Female,F,97,2036406,4.8,0.00%
Louisiana,22,1976,1976,Male,M,337,1920160,17.6,0.10%
Louisiana,22,1977,1977,Female,F,134,2070620,6.5,0.00%
Louisiana,22,1977,1977,Male,M,359,1954238,18.4,0.10%
Louisiana,22,1978,1978,Female,F,125,2099338,6,0.00%
Louisiana,22,1978,1978,Male,M,346,1981529,17.5,0.10%
Maine,23,1968,1968,Female,F,22,496021,4.4,0.00%
Maine,23,1968,1968,Male,M,68,472227,14.4,0.00%
Maine,23,1969,1969,Female,F,27,503364,5.4,0.00%
Maine,23,1969,1969,Male,M,96,478395,20.1,0.00%
Maine,23,1970,1970,Female,F,30,509542,5.9,0.00%
Maine,23,1970,1970,Male,M,97,484997,20,0.00%
Maine,23,1971,1971,Female,F,27,520236,5.2,0.00%
