"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
"Total"	"Arizona"	"04"	"1976"	"1976"			389	2349986	16.6	0.1%
	"Arizona"	"04"	"1977"	"1977"	"Female"	"F"	133	1232330	10.8	0.0%
	"Arizona"	"04"	"1977"	"1977"	"Male"	"M"	360	1198486	30.0	0.1%
"Total"	"Arizona"	"04"	"1977"	"1977"			493	2430816	20.3	0.2%
	"Arizona"	"04"	"1978"	"1978"	"Female"	"F"	120	1279066	9.4	0.0%
	"Arizona"	"04"	"1978"	"1978"	"Male"	"M"	339	1242503	27.3	0.1%
"Total"	"Arizona"	"04"	"1978"	"1978"			459	2521569	18.2	0.2%
"Total"	"Arizona"	"04"					3891	22982779	16.9	1.4%
	"Arkansas"	"05"	"1968"	"1968"	"Female"	"F"	32	962665	3.3	0.0%
	"Arkansas"	"05"	"1968"	"1968"	"Male"	"M"	134	906029	14.8	0.0%
"Total"	"Arkansas"	"05"	"1968"	"1968"			166	1868694	8.9	0.1%
	"Arkansas"	"05"	"1969"	"1969"	"Female"	"F"	32	979273	3.3	0.0%
	"Arkansas"	"05"	"1969"	"1969"	"Male"	"M"	128	920186	13.9	0.0%
"Total"	"Arkansas"	"05"	"1969"	"1969"			160	1899459	8.4	0.1%
	"Arkansas"	"05"	"1970"	"1970"	"Female"	"F"	45	992611	4.5	0.0%
	"Arkansas"	"05"	"1970"	"1970"	"Male"	"M"	153	934593	16.4	0.1%
"Total"	"Arkansas"	"05"	"1970"	"1970"			198	1927204	10.3	0.1%
	"Arkansas"	"05"	"1971"	"1971"	"Female"	"F"	48	1016675	4.7	0.0%
	"Arkansas"	"05"	"1971"	"1971"	"Male"	"M"	144	958421	15.0	0.1%
"Total"	"Arkansas"	"05"	"1971"	"1971"			192	1975096	9.7	0.1%
	"Arkansas"	"05"	"1972"	"1972"	"Female"	"F"	60	1038344	5.8	0.0%
	"Arkansas"	"05"	"1972"	"1972"	"Male"	"M"	158	980117	16.1	0.1%
"Total"	"Arkansas"	"05"	"1972"	"1972"			218	2018461	10.8	0.1%
	"Arkansas"	"05"	"1973"	"1973"	"Female"	"F"	47	1058845	4.4	0.0%
	"Arkansas"	"05"	"1973"	"1973"	"Male"	"M"	165	999377	16.5	0.1%
"Total"	"Arkansas"	"05"	"1973"	"1973"			212	2058222	10.3	0.1%
	"Arkansas"	"05"	"1974"	"1974"	"Female"	"F"	53	1081090	4.9	0.0%
	"Arkansas"	"05"	"1974"	"1974"	"Male"	"M"	170	1019629	16.7	0.1%
"Total"	"Arkansas"	"05"	"1974"	"1974"			223	2100719	10.6	0.1%
	"Arkansas"	"05"	"1975"	"1975"	"Female"	"F"	41	1111025	3.7	0.0%
	"Arkansas"	"05"	"1975"	"1975"	"Male"	"M"	169	1047046	16.1	0.1%
"Total"	"Arkansas"	"05"	"1975"	"1975"			210	2158071	9.7	0.1%
	"Arkansas"	"05"	"1976"	"1976"	"Female"	"F"	60	1117684	5.4	0.0%
	"Arkansas"	"05"	"1976"	"1976"	"Male"	"M"	187	1051829	17.8	0.1%
"Total"	"Arkansas"	"05"	"1976"	"1976"			247	2169513	11.4	0.1%
	"Arkansas"	"05"	"1977"	"1977"	"Female"	"F"	52	1139341	4.6	0.0%
	"Arkansas"	"05"	"1977"	"1977"	"Male"	"M"	199	1070187	18.6	0.1%
"Total"	"Arkansas"	"05"	"1977"	"1977"			251	2209528	11.4	0.1%
	"Arkansas"	"05"	"1978"	"1978"	"Female"	"F"	49	1157014	4.2	0.0%
	"Arkansas"	"05"	"1978"	"1978"	"Male"	"M"	179	1084847	16.5	0.1%
"Total"	"Arkansas"	"05"	"1978"	"1978"			228	2241861	10.2	0.1%
"Total"	"Arkansas"	"05"					2305	22626828	10.2	0.8%
	"California"	"06"	"1968"	"1968"	"Female"	"F"	1150	9938072	11.6	0.4%
	"California"	"06"	"1968"	"1968"	"Male"	"M"	2001	9639658	20.8	0.7%
"Total"	"California"	"06"	"1968"	"1968"			3151	19577730	16.1	1.1%
	"California"	"06"	"1969"	"1969"	"Female"	"F"	1321	10056244	13.1	0.5%
	"California"	"06"	"1969"	"1969"	"Male"	"M"	2223	9738758	22.8	0.8%
"Total"	"California"	"06"	"1969"	"1969"			3544	19795002	17.9	1.3%
	"California"	"06"	"1970"	"1970"	"Female"	"F"	1426	10159283	14.0	0.5%
	"California"	"06"	"1970"	"1970"	"Male"	"M"	2281	9845650	23.2	0.8%
"Total"	"California"	"06"	"1970"	"1970"			3707	20004933	18.5	1.3%
	"California"	"06"	"1971"	"1971"	"Female"	"F"	1480	10324136	14.3	0.5%
	"California"	"06"	"1971"	"1971"	"Male"	"M"	2285	10022878	22.8	0.8%
"Total"	"California"	"06"	"1971"	"1971"			3765	20347014	18.5	1.4%
	"California"	"06"	"1972"	"1972"	"Female"	"F"	1494	10430816	14.3	0.5%
	"California"	"06"	"1972"	"1972"	"Male"	"M"	2448	10136678	24.1	0.9%
"Total"	"California"	"06"	"1972"	"1972"			3942	20567494	19.2	1.4%
	"California"	"06"	"1973"	"1973"	"Female"	"F"	1257	10575014	11.9	0.5%
	"California"	"06"	"1973"	"1973"	"Male"	"M"	2397	10272311	23.3	0.9%
"Total"	"California"	"06"	"1973"	"1973"			3654	20847325	17.5	1.3%
	"California"	"06"	"1974"	"1974"	"Female"	"F"	1310	10739268	12.2	0.5%
	"California"	"06"	"1974"	"1974"	"Male"	"M"	2373	10433764	22.7	0.9%
"Total"	"California"	"06"	"1974"	"1974"			3683	21173032	17.4	1.3%
	"California"	"06"	"1975"	"1975"	"Female"	"F"	1292	10931349	11.8	0.5%
	"California"	"06"	"1975"	"1975"	"Male"	"M"	2561	10617615	24.1	0.9%
"Total"	"California"	"06"	"1975"	"1975"			3853	21548964	17.9	1.4%
	"California"	"06"	"1976"	"1976"	"Female"	"F"	1260	11139863	11.3	0.5%
	"California"	"06"	"1976"	"1976"	"Male"	"M"	2505	10825110	23.1	0.9%
"Total"	"California"	"06"	"1976"	"1976"			3765	21964973	17.1	1.4%
	"California"	"06"	"1977"	"1977"	"Female"	"F"	1254	11353667	11.0	0.5%
	"California"	"06"	"1977"	"1977"	"Male"	"M"	2629	11037359	23.8	0.9%
"Total"	"California"	"06"	"1977"	"1977"			3883	22391026	17.3	1.4%
	"California"	"06"	"1978"	"1978"	"Female"	"F"	1073	11601984	9.2	0.4%
	"California"	"06"	"1978"	"1978"	"Male"	"M"	2554	11275693	22.7	0.9%
"Total"	"California"	"06"	"1978"	"1978"			3627	22877677	15.9	1.3%
"Total"	"California"	"06"					40574	231095170	17.6	14.6%
	"Colorado"	"08"	"1968"	"1968"	"Female"	"F"	108	1065007	10.1	0.0%
	"Colorado"	"08"	"1968"	"1968"	"Male"	"M"	233	1032797	22.6	0.1%
"Total"	"Colorado"	"08"	"1968"	"1968"			341	2097804	16.3	0.1%
	"Colorado"	"08"	"1969"	"1969"	"Female"	"F"	97	1095910	8.9	0.0%
	"Colorado"	"08"	"1969"	"1969"	"Male"	"M"	233	1064422	21.9	0.1%
"Total"	"Colorado"	"08"	"1969"	"1969"			330	2160332	15.3	0.1%
	"Colorado"	"08"	"1970"	"1970"	"Female"	"F"	105	1120722	9.4	0.0%
	"Colorado"	"08"	"1970"	"1970"	"Male"	"M"	278	1093124	25.4	0.1%
"Total"	"Colorado"	"08"	"1970"	"1970"			383	2213846	17.3	0.1%
	"Colorado"	"08"	"1971"	"1971"	"Female"	"F"	120	1164213	10.3	0.0%
	"Colorado"	"08"	"1971"	"1971"	"Male"	"M"	264	1141021	23.1	0.1%
"Total"	"Colorado"	"08"	"1971"	"1971"			384	2305234	16.7	0.1%
	"Colorado"	"08"	"1972"	"1972"	"Female"	"F"	120	1211155	9.9	0.0%
	"Colorado"	"08"	"1972"	"1972"	"Male"	"M"	306	1192183	25.7	0.1%
"Total"	"Colorado"	"08"	"1972"	"1972"			426	2403338	17.7	0.2%
	"Colorado"	"08"	"1973"	"1973"	"Female"	"F"	123	1255094	9.8	0.0%
	"Colorado"	"08"	"1973"	"1973"	"Male"	"M"	301	1238644	24.3	0.1%
"Total"	"Colorado"	"08"	"1973"	"1973"			424	2493738	17.0	0.2%
	"Colorado"	"08"	"1974"	"1974"	"Female"	"F"	131	1278123	10.2	0.0%
	"Colorado"	"08"	"1974"	"1974"	"Male"	"M"	316	1261835	25.0	0.1%
"Total"	"Colorado"	"08"	"1974"	"1974"			447	2539958	17.6	0.2%
	"Colorado"	"08"	"1975"	"1975"	"Female"	"F"	126	1301149	9.7	0.0%
	"Colorado"	"08"	"1975"	"1975"	"Male"	"M"	319	1285085	24.8	0.1%
"Total"	"Colorado"	"08"	"1975"	"1975"			445	2586234	17.2	0.2%
	"Colorado"	"08"	"1976"	"1976"	"Female"	"F"	132	1324315	10.0	0.0%
	"Colorado"	"08"	"1976"	"1976"	"Male"	"M"	316	1309914	24.1	0.1%
"Total"	"Colorado"	"08"	"1976"	"1976"			448	2634229	17.0	0.2%
	"Colorado"	"08"	"1977"	"1977"	"Female"	"F"	137	1357947	10.1	0.0%
	"Colorado"	"08"	"1977"	"1977"	"Male"	"M"	393	1341732	29.3	0.1%
"Total"	"Colorado"	"08"	"1977"	"1977"			530	2699679	19.6	0.2%
	"Colorado"	"08"	"1978"	"1978"	"Female"	"F"	125	1393496	9.0	0.0%
	"Colorado"	"08"	"1978"	"1978"	"Male"	"M"	356	1376809	25.9	0.1%
"Total"	"Colorado"	"08"	"1978"	"1978"			481	2770305	17.4	0.2%
"Total"	"Colorado"	"08"					4639	26904697	17.2	1.7%
	"Connecticut"	"09"	"1968"	"1968"	"Female"	"F"	88	1543462	5.7	0.0%
	"Connecticut"	"09"	"1968"	"1968"	"Male"	"M"	178	1457152	12.2	0.1%
"Total"	"Connecticut"	"09"	"1968"	"1968"			266	3000614	8.9	0.1%
	"Connecticut"	"09"	"1969"	"1969"	"Female"	"F"	101	1552706	6.5	0.0%
	"Connecticut"	"09"	"1969"	"1969"	"Male"	"M"	212	1461800	14.5	0.1%
"Total"	"Connecticut"	"09"	"1969"	"1969"			313	3014506	10.4	0.1%
	"Connecticut"	"09"	"1970"	"1970"	"Female"	"F"	80	1561082	5.1	0.0%
	"Connecticut"	"09"	"1970"	"1970"	"Male"	"M"	224	1470936	15.2	0.1%
"Total"	"Connecticut"	"09"	"1970"	"1970"			304	3032018	10.0	0.1%
	"Connecticut"	"09"	"1971"	"1971"	"Female"	"F"	89	1574051	5.7	0.0%
	"Connecticut"	"09"	"1971"	"1971"	"Male"	"M"	216	1483509	14.6	0.1%
"Total"	"Connecticut"	"09"	"1971"	"1971"			305	3057560	10.0	0.1%
	"Connecticut"	"09"	"1972"	"1972"	"Female"	"F"	80	1576672	5.1	0.0%
	"Connecticut"	"09"	"1972"	"1972"	"Male"	"M"	226	1485224	15.2	0.1%
"Total"	"Connecticut"	"09"	"1972"	"1972"			306	3061896	10.0	0.1%
	"Connecticut"	"09"	"1973"	"1973"	"Female"	"F"	92	1577746	5.8	0.0%
	"Connecticut"	"09"	"1973"	"1973"	"Male"	"M"	192	1483959	12.9	0.1%
"Total"	"Connecticut"	"09"	"1973"	"1973"			284	3061705	9.3	0.1%
	"Connecticut"	"09"	"1974"	"1974"	"Female"	"F"	65	1583166	4.1	0.0%
	"Connecticut"	"09"	"1974"	"1974"	"Male"	"M"	201	1486846	13.5	0.1%
"Total"	"Connecticut"	"09"	"1974"	"1974"			266	3070012	8.7	0.1%
	"Connecticut"	"09"	"1975"	"1975"	"Female"	"F"	90	1590253	5.7	0.0%
	"Connecticut"	"09"	"1975"	"1975"	"Male"	"M"	227	1490273	15.2	0.1%
"Total"	"Connecticut"	"09"	"1975"	"1975"			317	3080526	10.3	0.1%
	"Connecticut"	"09"	"1976"	"1976"	"Female"	"F"	77	1592103	4.8	0.0%
	"Connecticut"	"09"	"1976"	"1976"	"Male"	"M"	234	1491369	15.7	0.1%
"Total"	"Connecticut"	"09"	"1976"	"1976"			311	3083472	10.1	0.1%
	"Connecticut"	"09"	"1977"	"1977"	"Female"	"F"	64	1596112	4.0	0.0%
	"Connecticut"	"09"	"1977"	"1977"	"Male"	"M"	204	1492038	13.7	0.1%
"Total"	"Connecticut"	"09"	"1977"	"1977"			268	3088150	8.7	0.1%
	"Connecticut"	"09"	"1978"	"1978"	"Female"	"F"	95	1600729	5.9	0.0%
	"Connecticut"	"09"	"1978"	"1978"	"Male"	"M"	225	1494458	15.1	0.1%
"Total"	"Connecticut"	"09"	"1978"	"1978"			320	3095187	10.3	0.1%
"Total"	"Connecticut"	"09"					3260	33645646	9.7	1.2%
	"Delaware"	"10"	"1968"	"1968"	"Female"	"F"	23	269789	8.5	0.0%
	"Delaware"	"10"	"1968"	"1968"	"Male"	"M"	41	257997	15.9	0.0%
"Total"	"Delaware"	"10"	"1968"	"1968"			64	527786	12.1	0.0%
	"Delaware"	"10"	"1969"	"1969"	"Female"	"F"	18	276070	6.5 (Unreliable)	0.0%
	"Delaware"	"10"	"1969"	"1969"	"Male"	"M"	50	262930	19.0	0.0%
"Total"	"Delaware"	"10"	"1969"	"1969"			68	539000	12.6	0.0%
	"Delaware"	"10"	"1970"	"1970"	"Female"	"F"	12	281082	4.3 (Unreliable)	0.0%
	"Delaware"	"10"	"1970"	"1970"	"Male"	"M"	55	267827	20.5	0.0%
"Total"	"Delaware"	"10"	"1970"	"1970"			67	548909	12.2	0.0%
	"Delaware"	"10"	"1971"	"1971"	"Female"	"F"	16	289708	5.5 (Unreliable)	0.0%
	"Delaware"	"10"	"1971"	"1971"	"Male"	"M"	39	275670	14.1	0.0%
"Total"	"Delaware"	"10"	"1971"	"1971"			55	565378	9.7	0.0%
	"Delaware"	"10"	"1972"	"1972"	"Female"	"F"	14	293945	4.8 (Unreliable)	0.0%
	"Delaware"	"10"	"1972"	"1972"	"Male"	"M"	50	279111	17.9	0.0%
"Total"	"Delaware"	"10"	"1972"	"1972"			64	573056	11.2	0.0%
	"Delaware"	"10"	"1973"	"1973"	"Female"	"F"	21	296789	7.1	0.0%
	"Delaware"	"10"	"1973"	"1973"	"Male"	"M"	58	281236	20.6	0.0%
"Total"	"Delaware"	"10"	"1973"	"1973"			79	578025	13.7	0.0%
	"Delaware"	"10"	"1974"	"1974"	"Female"	"F"	17	299356	5.7 (Unreliable)	0.0%
	"Delaware"	"10"	"1974"	"1974"	"Male"	"M"	44	283088	15.5	0.0%
"Total"	"Delaware"	"10"	"1974"	"1974"			61	582444	10.5	0.0%
	"Delaware"	"10"	"1975"	"1975"	"Female"	"F"	24	302747	7.9	0.0%
	"Delaware"	"10"	"1975"	"1975"	"Male"	"M"	46	285554	16.1	0.0%
"Total"	"Delaware"	"10"	"1975"	"1975"			70	588301	11.9	0.0%
	"Delaware"	"10"	"1976"	"1976"	"Female"	"F"	19	305172	6.2 (Unreliable)	0.0%
	"Delaware"	"10"	"1976"	"1976"	"Male"	"M"	52	287320	18.1	0.0%
"Total"	"Delaware"	"10"	"1976"	"1976"			71	592492	12.0	0.0%
	"Delaware"	"10"	"1977"	"1977"	"Female"	"F"	15	307323	4.9 (Unreliable)	0.0%
	"Delaware"	"10"	"1977"	"1977"	"Male"	"M"	61	287888	21.2	0.0%
"Total"	"Delaware"	"10"	"1977"	"1977"			76	595211	12.8	0.0%
	"Delaware"	"10"	"1978"	"1978"	"Female"	"F"	24	309254	7.8	0.0%
	"Delaware"	"10"	"1978"	"1978"	"Male"	"M"	61	289372	21.1	0.0%
"Total"	"Delaware"	"10"	"1978"	"1978"			85	598626	14.2	0.0%
"Total"	"Delaware"	"10"					760	6289228	12.1	0.3%
	"District of Columbia"	"11"	"1968"	"1968"	"Female"	"F"	19	413323	4.6 (Unreliable)	0.0%
	"District of Columbia"	"11"	"1968"	"1968"	"Male"	"M"	36	359363	10.0	0.0%
"Total"	"District of Columbia"	"11"	"1968"	"1968"			55	772686	7.1	0.0%
	"District of Columbia"	"11"	"1969"	"1969"	"Female"	"F"	15	409283	3.7 (Unreliable)	0.0%
	"District of Columbia"	"11"	"1969"	"1969"	"Male"	"M"	50	355384	14.1	0.0%
"Total"	"District of Columbia"	"11"	"1969"	"1969"			65	764667	8.5	0.0%
	"District of Columbia"	"11"	"1970"	"1970"	"Female"	"F"	23	406575	5.7	0.0%
	"District of Columbia"	"11"	"1970"	"1970"	"Male"	"M"	45	353364	12.7	0.0%
"Total"	"District of Columbia"	"11"	"1970"	"1970"			68	759939	8.9	0.0%
	"District of Columbia"	"11"	"1971"	"1971"	"Female"	"F"	34	402987	8.4	0.0%
	"District of Columbia"	"11"	"1971"	"1971"	"Male"	"M"	48	350489	13.7	0.0%
"Total"	"District of Columbia"	"11"	"1971"	"1971"			82	753476	10.9	0.0%
	"District of Columbia"	"11"	"1972"	"1972"	"Female"	"F"	34	398336	8.5	0.0%
	"District of Columbia"	"11"	"1972"	"1972"	"Male"	"M"	56	346750	16.1	0.0%
"Total"	"District of Columbia"	"11"	"1972"	"1972"			90	745086	12.1	0.0%
	"District of Columbia"	"11"	"1973"	"1973"	"Female"	"F"	28	392745	7.1	0.0%
	"District of Columbia"	"11"	"1973"	"1973"	"Male"	"M"	59	341637	17.3	0.0%
"Total"	"District of Columbia"	"11"	"1973"	"1973"			87	734382	11.8	0.0%
	"District of Columbia"	"11"	"1974"	"1974"	"Female"	"F"	22	386357	5.7	0.0%
	"District of Columbia"	"11"	"1974"	"1974"	"Male"	"M"	55	335098	16.4	0.0%
"Total"	"District of Columbia"	"11"	"1974"	"1974"			77	721455	10.7	0.0%
	"District of Columbia"	"11"	"1975"	"1975"	"Female"	"F"	24	381185	6.3	0.0%
	"District of Columbia"	"11"	"1975"	"1975"	"Male"	"M"	65	330258	19.7	0.0%
"Total"	"District of Columbia"	"11"	"1975"	"1975"			89	711443	12.5	0.0%
	"District of Columbia"	"11"	"1976"	"1976"	"Female"	"F"	35	373949	9.4	0.0%
	"District of Columbia"	"11"	"1976"	"1976"	"Male"	"M"	56	324028	17.3	0.0%
"Total"	"District of Columbia"	"11"	"1976"	"1976"			91	697977	13.0	0.0%
	"District of Columbia"	"11"	"1977"	"1977"	"Female"	"F"	23	367037	6.3	0.0%
	"District of Columbia"	"11"	"1977"	"1977"	"Male"	"M"	40	317150	12.6	0.0%
"Total"	"District of Columbia"	"11"	"1977"	"1977"			63	684187	9.2	0.0%
	"District of Columbia"	"11"	"1978"	"1978"	"Female"	"F"	17	360806	4.7 (Unreliable)	0.0%
	"District of Columbia"	"11"	"1978"	"1978"	"Male"	"M"	53	311294	17.0	0.0%
"Total"	"District of Columbia"	"11"	"1978"	"1978"			70	672100	10.4	0.0%
"Total"	"District of Columbia"	"11"					837	8017398	10.4	0.3%
	"Florida"	"12"	"1968"	"1968"	"Female"	"F"	283	3281078	8.6	0.1%
	"Florida"	"12"	"1968"	"1968"	"Male"	"M"	596	3066712	19.4	0.2%
"Total"	"Florida"	"12"	"1968"	"1968"			879	6347790	13.8	0.3%
	"Florida"	"12"	"1969"	"1969"	"Female"	"F"	323	3414033	9.5	0.1%
	"Florida"	"12"	"1969"	"1969"	"Male"	"M"	657	3184219	20.6	0.2%
"Total"	"Florida"	"12"	"1969"	"1969"			980	6598252	14.9	0.4%
